取色器
ID	COLOR	ID	COLOR
1	#FFFAFA	229	#BBFFFF
2	#F8F8FF	230	#AEEEEE
3	#F5F5F5	231	#96CDCD
4	#DCDCDC	232	#668B8B
5	#FFFAF0	233	#98F5FF
6	#FDF5E6	234	#8EE5EE
7	#FAF0E6	235	#7AC5CD
8	#FAEBD7	236	#53868B
9	#FFEFD5	237	#00F5FF
10	#FFEBCD	238	#00E5EE
11	#FFE4C4	239	#00C5CD
12	#FFDAB9	240	#00868B
13	#FFDEAD	241	#00FFFF
14	#FFE4B5	242	#00EEEE
15	#FFF8DC	243	#00CDCD
16	#FFFFF0	244	#008B8B
17	#FFFACD	245	#97FFFF
18	#FFF5EE	246	#8DEEEE
19	#F0FFF0	247	#79CDCD
20	#F5FFFA	248	#528B8B
21	#F0FFFF	249	#7FFFD4
22	#F0F8FF	250	#76EEC6
23	#E6E6FA	251	#66CDAA
24	#FFF0F5	252	#458B74
25	#FFE4E1	253	#C1FFC1
26	#FFFFFF	254	#B4EEB4
27	#000000	255	#9BCD9B
28	#2F4F4F	256	#698B69
29	#696969	257	#54FF9F
30	#708090	258	#4EEE94
31	#778899	259	#43CD80
32	#BEBEBE	260	#2E8B57
33	#D3D3D3	261	#9AFF9A
34	#191970	262	#90EE90
35	#000080	263	#7CCD7C
36	#6495ED	264	#548B54
37	#483D8B	265	#00FF7F
38	#6A5ACD	266	#00EE76
39	#7B68EE	267	#00CD66
40	#8470FF	268	#008B45
41	#0000CD	269	#00FF00
42	#4169E1	270	#00EE00
43	#0000FF	271	#00CD00
44	#1E90FF	272	#008B00
45	#00BFFF	273	#7FFF00
46	#87CEEB	274	#76EE00
47	#87CEFA	275	#66CD00
48	#4682B4	276	#458B00
49	#B0C4DE	277	#C0FF3E
50	#ADD8E6	278	#B3EE3A
51	#B0E0E6	279	#9ACD32
52	#AFEEEE	280	#698B22
53	#00CED1	281	#CAFF70
54	#48D1CC	282	#BCEE68
55	#40E0D0	283	#A2CD5A
56	#00FFFF	284	#6E8B3D
57	#E0FFFF	285	#FFF68F
58	#5F9EA0	286	#EEE685
59	#66CDAA	287	#CDC673
60	#7FFFD4	288	#8B864E
61	#006400	289	#FFEC8B
62	#556B2F	290	#EEDC82
63	#8FBC8F	291	#CDBE70
64	#2E8B57	292	#8B814C
65	#3CB371	293	#FFFFE0
66	#20B2AA	294	#EEEED1
67	#98FB98	295	#CDCDB4
68	#00FF7F	296	#8B8B7A
69	#7CFC00	297	#FFFF00
70	#00FF00	298	#EEEE00
71	#7FFF00	299	#CDCD00
72	#00FA9A	300	#8B8B00
73	#ADFF2F	301	#FFD700
74	#32CD32	302	#EEC900
75	#9ACD32	303	#CDAD00
76	#228B22	304	#8B7500
77	#6B8E23	305	#FFC125
78	#BDB76B	306	#EEB422
79	#EEE8AA	307	#CD9B1D
80	#FAFAD2	308	#8B6914
81	#FFFFE0	309	#FFB90F
82	#FFFF00	310	#EEAD0E
83	#FFD700	311	#CD950C
84	#EEDD82	312	#8B658B
85	#DAA520	313	#FFC1C1
86	#B8860B	314	#EEB4B4
87	#BC8F8F	315	#CD9B9B
88	#CD5C5C	316	#8B6969
89	#8B4513	317	#FF6A6A
90	#A0522D	318	#EE6363
91	#CD853F	319	#CD5555
92	#DEB887	320	#8B3A3A
93	#F5F5DC	321	#FF8247
94	#F5DEB3	322	#EE7942
95	#F4A460	323	#CD6839
96	#D2B48C	324	#8B4726
97	#D2691E	325	#FFD39B
98	#B22222	326	#EEC591
99	#A52A2A	327	#CDAA7D
100	#E9967A	328	#8B7355
101	#FA8072	329	#FFE7BA
102	#FFA07A	330	#EED8AE
103	#FFA500	331	#CDBA96
104	#FF8C00	332	#8B7E66
105	#FF7F50	333	#FFA54F
106	#F08080	334	#EE9A49
107	#FF6347	335	#CD853F
108	#FF4500	336	#8B5A2B
109	#FF0000	337	#FF7F24
110	#FF69B4	338	#EE7621
111	#FF1493	339	#CD661D
112	#FFC0CB	340	#8B4513
113	#FFB6C1	341	#FF3030
114	#DB7093	342	#EE2C2C
115	#B03060	343	#CD2626
116	#C71585	344	#8B1A1A
117	#D02090	345	#FF4040
118	#FF00FF	346	#EE3B3B
119	#EE82EE	347	#CD3333
120	#DDA0DD	348	#8B2323
121	#DA70D6	349	#FF8C69
122	#BA55D3	350	#EE8262
123	#9932CC	351	#CD7054
124	#9400D3	352	#8B4C39
125	#8A2BE2	353	#FFA07A
126	#A020F0	354	#EE9572
127	#9370DB	355	#CD8162
128	#D8BFD8	356	#8B5742
129	#FFFAFA	357	#FFA500
130	#EEE9E9	358	#EE9A00
131	#CDC9C9	359	#CD8500
132	#8B8989	360	#8B5A00
133	#FFF5EE	361	#FF7F00
134	#EEE5DE	362	#EE7600
135	#CDC5BF	363	#CD6600
136	#8B8682	364	#8B4500
137	#FFEFDB	365	#FF7256
138	#EEDFCC	366	#EE6A50
139	#CDC0B0	367	#CD5B45
140	#8B8378	368	#8B3E2F
141	#FFE4C4	369	#FF6347
142	#EED5B7	370	#EE5C42
143	#CDB79E	371	#CD4F39
144	#8B7D6B	372	#8B3626
145	#FFDAB9	373	#FF4500
146	#EECBAD	374	#EE4000
147	#CDAF95	375	#CD3700
148	#8B7765	376	#8B2500
149	#FFDEAD	377	#FF0000
150	#EECFA1	378	#EE0000
151	#CDB38B	379	#CD0000
152	#8B795E	380	#8B0000
153	#FFFACD	381	#FF1493
154	#EEE9BF	382	#EE1289
155	#CDC9A5	383	#CD1076
156	#8B8970	384	#8B0A50
157	#FFF8DC	385	#FF6EB4
158	#EEE8CD	386	#EE6AA7
159	#CDC8B1	387	#CD6090
160	#8B8878	388	#8B3A62
161	#FFFFF0	389	#FFB5C5
162	#EEEEE0	390	#EEA9B8
163	#CDCDC1	391	#CD919E
164	#8B8B83	392	#8B636C
165	#F0FFF0	393	#FFAEB9
166	#E0EEE0	394	#EEA2AD
167	#C1CDC1	395	#CD8C95
168	#838B83	396	#8B5F65
169	#FFF0F5	397	#FF82AB
170	#EEE0E5	398	#EE799F
171	#CDC1C5	399	#CD6889
172	#8B8386	400	#8B475D
173	#FFE4E1	401	#FF34B3
174	#EED5D2	402	#EE30A7
175	#CDB7B5	403	#CD2990
176	#8B7D7B	404	#8B1C62
177	#F0FFFF	405	#FF3E96
178	#E0EEEE	406	#EE3A8C
179	#C1CDCD	407	#CD3278
180	#838B8B	408	#8B2252
181	#836FFF	409	#FF00FF
182	#7A67EE	410	#EE00EE
183	#6959CD	411	#CD00CD
184	#473C8B	412	#8B008B
185	#4876FF	413	#FF83FA
186	#436EEE	414	#EE7AE9
187	#3A5FCD	415	#CD69C9
188	#27408B	416	#8B4789
189	#0000FF	417	#FFBBFF
190	#0000EE	418	#EEAEEE
