• 界面文件:
UI ID	说明
AuctionBid	竞拍
AuctionBidding	我的竞拍
AuctionBuy	购买
AuctionMain	拍卖行主界面
AuctionPutin	上架道具
AuctionPutList	我的上架
AuctionPutout	下架道具
AuctionTimeout	超时
AuctionWorld	世界拍卖、行会拍卖
AutoTrade	摆摊:主界面
AutoTradePut	摆摊:确认界面
AutoTradeSet	摆摊:请输入商户信息
AutoUsePop	自动使用
Bag	玩家:背包
BeStrongList	变强列表
BeStrongUp	提升按钮
Chat	聊天
ChatExtend	聊天拓展框
CommonBubbleInfo	被多人邀请组队、交易
CommonDescTips	通用描述tips
CommonSelectList	选择下拉栏
CommonTipsPop	通用弹窗
Friend	社交：好友
FriendAdd	社交：好友：添加好友
FriendApply	社交：好友：好友申请
FuncDock	功能菜单
GameWorldConfirm	游戏世界确认公告
GoldBox	宝箱
GuildAllyApply	行会：结盟申请列表
GuildApplyList	行会：申请列表
GuildCreate	行会：创建
GuildEditTitle	行会：编辑
GuildFrame	行会：外框
GuildList	行会：列表
GuildMain	行会：主界面
GuildMember	行会：成员
GuildWarSponsor	行会：宣战、结盟结盟
GUIShare	客户端默认配置
GUIUtil	进入游戏最开始加载该文件, 在主界面加载之前
HeroBag	英雄:背包
HeroState	英雄状态
HeroStateSelect	英雄状态设置
HeroStateThreeSelect	英雄状态设置
Item	道具框
ItemSplitPop	道具tips
ItemTips	道具拆分弹窗
LoginAccount	登录账号
LoginRolePanel	人物登录界面
LoginServer	登录账号 开门动画
LookMergePlayerMain	他人:人物和英雄
LookPlayerBestRing	他人:玩家:生肖
LookPlayerEquip	他人:玩家:装备
LookPlayerHeroBestRing	他人:英雄:生肖
LookPlayerHeroEquip	他人:英雄:装备
LookPlayerHeroMain	他人:英雄:主界面
LookPlayerHeroSuperEquip	他人:英雄:神装
LookPlayerHeroTitle	他人:英雄:称号
LookPlayerMain	他人:玩家:主界面
LookPlayerSuperEquip	他人:玩家:神装
LookPlayerTitle	他人:玩家:称号
Mail	社交：邮件
MainAssist	主界面：任务栏
MainDig	挖矿
MainLeftBottom	主界面：左下
MainLeftTop	主界面：左上
MainMiniMap	主界面：小地图
MainProperty	主界面：属性栏
MainPropertyWin32	PC 主界面 属性栏
MainRightBottom	主界面：右下
MainRightTop	主界面：右上
MainSkill	主界面：技能/按钮
MainSkillWin32	PC 主界面：技能/按钮
MainSummons	主界面:召唤物
MainTarget	主界面：目标栏
MainTop	主界面：最上方
MergeBag	玩家、英雄:背包合并
MergePlayerMain	人物和英雄
MiniMap	小地图
MiniMapFrame	小地图 外框
MultiFuncFrame	社交：外框
NearPlayer	社交：附近
Notice	系统类通知
NPCStorage	仓库
NPCTalk	NPC
PlayerBaseAtt	玩家:基础属性
PlayerBestRing	玩家:生肖
PlayerEquip	玩家:装备
PlayerExtraAtt	玩家:额外属性
PlayerHeroBaseAtt	英雄:基础属性
PlayerHeroBestRing	英雄:生肖
PlayerHeroEquip	英雄:装备
PlayerHeroExtraAtt	英雄:额外属性
PlayerHeroMain	英雄:主界面
PlayerHeroSkill	英雄:技能
PlayerHeroSuperEquip	英雄:神装
PlayerHeroTitle	英雄:称号
PlayerMain	玩家:人物主界面
PlayerSkill	玩家:技能
PlayerSuperEquip	玩家:神装
PlayerTitle	玩家:称号
PrivateChatWin32	PC 私聊记录
Rank	排行榜
Recharge	充值
ResolutionSetPop	分辨率
SettingAutoPick	设置:拾取
SettingBasic	设置:基础
SettingBattle	设置:战斗
SettingFilterBoss	设置:挂机:新增：附近怪物名称
SettingFrame	设置:外框
SettingHang	设置:挂机
SettingHero	设置:英雄
SettingProtect	设置:保护
SettingProtectItems	设置:保护:保护道具消耗优先级设置页
SettingProtocol	设置:其他
ShutCell	千里传音喊话背景
SkillSetting	技能设置
SkillSettingWin32	PC 技能按键设置
Store	商城
StoreBuy	商城购买
StoreFrame	商城外框
Team	社交：组队
TeamApply	社交：组队：组队申请
TeamBeInvitedPop	被邀请组队弹窗
TeamInvite	社交：组队：组队邀请
Trade	交易
TradePlayerBaseAtt	交易行:玩家:基础属性
TradePlayerBestRing	交易行:玩家:生肖
TradePlayerEquip	交易行:玩家:装备
TradePlayerExtraAtt	交易行:玩家:额外属性
TradePlayerHeroBag	交易行:玩家:英雄:背包
TradePlayerHeroBaseAtt	交易行:玩家:英雄:基础属性
TradePlayerHeroBestRing	交易行:玩家:英雄:生肖
TradePlayerHeroEquip	交易行:玩家:英雄:装备
TradePlayerHeroExtraAtt	交易行:玩家:英雄:额外属性
TradePlayerHeroMain	交易行:玩家:英雄:主界面
TradePlayerHeroSkill	交易行:玩家:英雄:技能
TradePlayerHeroStore	交易行:玩家:英雄:仓库
TradePlayerHeroSuperEquip	交易行:玩家:英雄:神装
TradePlayerHeroTitle	交易行:玩家:英雄:称号
TradePlayerMain	交易行:玩家:主界面
TradePlayerRoleBag	交易行:玩家:背包
TradePlayerRoleStore	交易行:玩家:仓库
TradePlayerSkill	交易行:玩家:技能
TradePlayerSuperEquip	交易行:玩家:神装
TradePlayerTitle	交易行:玩家:称号
TradeTips	交易弹窗
TradingBankFrame	交易行主界面
TreasureBox	宝箱道具
UIModel	内观模型
UIRotateView	旋转控件
