|— 点我查看具体用法 —|

• 窗体事件:
事件ID	说明
WND_EVENT_MOUSE_LB_DOWN	鼠标左键按下事件
WND_EVENT_MOUSE_LB_UP	鼠标左键弹起事件
WND_EVENT_MOUSE_LB_CLICK	鼠标左键点击事件
WND_EVENT_MOUSE_LB_DBCLICK	鼠标左键双击事件
WND_EVENT_MOUSE_RB_DOWN	鼠标右键按下事件
WND_EVENT_MOUSE_RB_UP	鼠标右键弹起事件
WND_EVENT_MOUSE_RB_CLICK	鼠标右键点击事件
WND_EVENT_MOUSE_RB_DBCLICK	鼠标右键双击事件
WND_EVENT_MOUSE_MOVE	鼠标移动事件
WND_EVENT_MOUSE_WHEEL	鼠标滚轮滚动事件
WND_EVENT_MOUSE_IN	鼠标进入控件事件
WND_EVENT_MOUSE_OUT	鼠标离开控件事件
WND_EVENT_WND_VISIBLE	可见状态发生变化事件
WND_EVENT_WND_POS_CHANGE	控件位置发生变化事件
WND_EVENT_WND_SIZECHANGE	窗口大小发生变化事件
WND_EVENT_WND_DESTROY	窗体被销毁事
